PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
1,2021,8,4,6,3,5,64,6000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
2,2020,20,2,6,3,5.1,64,5160,1080,5,33,53,1,2,1,1,IPS LCD Touchscreen,1,Qualcomm Snapdragon 732G (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
1,2020,8,3,6,3,5,64,5000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2020,5,3,4,3,5,32,5000,1080,2,10,0,1,2,0,0,IPS LCD Touchscreen,1,MediaTek Helio G35 (12 nm),"Octa core, up to 2.3 GHz",PowerVR GE8320,0,1
1,2020,16,3,6,3,5,64,5000,1080,5,33,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1,2020,8,4,6,3,5,32,5020,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2020,13,3,6,3,5,64,5020,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,MediaTek Helio G85 (12 nm),"Octa core, 2.0 GHz",Mali-G52 MC2,1,1
2,2020,16,3,6,3,5,64,5020,1080,5,33,0,1,2,1,1,IPS LCD Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.23 GHz",Adreno 618,1,1
1,2020,16,3,6,3,5,64,5020,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.23 GHz",Adreno 618,1,1
2,2020,16,3,8,3,5,64,5260,1080,5,30,0,1,2,1,1,AMOLED Touchscreen,1,Qualcomm Snapdragon 730G (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
